"id","location","organization","program","phone","toll_free","text_only","type","status","population_categories","service_categories","more_info","partnered","updated_at_label"
"100-mile-house-safe-home","100 Mile House","Canadian Mental Health Association - South Cariboo Branch","100 Mile House Safe Home","1-800-563-0808","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 1-800-563-0808","true","From BC transition houses CSV"
"abbotsford-transition-house","Abbotsford","SARA for Women Society","Abbotsford Transition House","604-852-6008","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-852-6008","true","From BC transition houses CSV"
"libra-transition-house","Aldergrove","Ishtar Women's Resource Society","Libra Transition House","604-857-5797","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-857-5797","true","From BC transition houses CSV"
"snxlhh-or-nuxalk-transition-house","Bella Coola","Nuxalk Transition House Society","Snxlhh or Nuxalk Transition House","1-877-799-0070","1-877-799-0070","","Transition House","Unknown","{}","{Transition House}","Phone: 1-877-799-0070 | Toll free: 1-877-799-0070","true","From BC transition houses CSV"
"dixon-transition-house","Burnaby","Dixon Transition Society","Dixon Transition House","604-298-3454","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-298-3454","true","From BC transition houses CSV"
"eagle-s-nest-transition-house","Burns Lake","Prince George and District Elizabeth Fry Society","Eagle's Nest Transition House","250-692-5720","","250-692-7559","Transition House","Unknown","{}","{Transition House}","Phone: 250-692-5720 | Text only: 250-692-7559","true","From BC transition houses CSV"
"ann-elmore-transition-house","Campbell River","Campbell River and North Island Transition Society","Ann Elmore Transition House","250-286-3666","1-800-667-2188","250-895-1773","Transition House","Unknown","{}","{Transition House}","Phone: 250-286-3666 | Toll free: 1-800-667-2188 | Text only: 250-895-1773","true","From BC transition houses CSV"
"castlegar-safe-home","Castlegar","Castlegar Community Services Society","Castlegar Safe Home","250-608-3710","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-608-3710","true","From BC transition houses CSV"
"chetwynd-safe-home","Chetwynd","South Peace Community Resources Society","Chetwynd Safe Home","250-788-1976","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-788-1976","true","From BC transition houses CSV"
"linda-krystina-safe-house","Chetwynd","The Linda Krystina Housing Society","Linda Krystina Safe House","250-401-8079","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-401-8079","true","From BC transition houses CSV"
"ann-davis-transition-house","Chilliwack","Ann Davis Transition Society","Ann Davis Transition House","604-792-3116","","604-819-3557","Transition House","Unknown","{}","{Transition House}","Phone: 604-792-3116 | Text only: 604-819-3557","true","From BC transition houses CSV"
"ann-davis-women-s-centre","Chilliwack","Ann Davis Transition Society","Ann Davis Women's Centre","604-391-1993","","604-819-3557","Transition House","Unknown","{}","{Transition House}","Phone: 604-391-1993 | Text only: 604-819-3557","true","From BC transition houses CSV"
"wilma-s-transition-house","Chilliwack","Wilma's Transition Society","Wilma's Transition House","604-858-0468","1-888-558-0468","","Transition House","Unknown","{}","{Transition House}","Phone: 604-858-0468 | Toll free: 1-888-558-0468","true","From BC transition houses CSV"
